Number,Date_Time,Temp
1,11/27/17 12:00:00 PM,24.062
2,11/27/17 12:30:00 PM,24.158
3,11/27/17 01:00:00 PM,24.158
4,11/27/17 01:30:00 PM,24.062
5,11/27/17 02:00:00 PM,24.158
6,11/27/17 02:30:00 PM,24.255
7,11/27/17 03:00:00 PM,24.158
8,11/27/17 03:30:00 PM,23.869
9,11/27/17 04:00:00 PM,23.773
10,11/27/17 04:30:00 PM,23.677
11,11/27/17 05:00:00 PM,23.581
12,11/27/17 05:30:00 PM,23.581
13,11/27/17 06:00:00 PM,23.581
14,11/27/17 06:30:00 PM,23.484
15,11/27/17 07:00:00 PM,23.484
16,11/27/17 07:30:00 PM,23.484
17,11/27/17 08:00:00 PM,23.388
18,11/27/17 08:30:00 PM,23.388
19,11/27/17 09:00:00 PM,23.196
20,11/27/17 09:30:00 PM,23.292
21,11/27/17 10:00:00 PM,23.292
22,11/27/17 10:30:00 PM,23.292
23,11/27/17 11:00:00 PM,23.292
24,11/27/17 11:30:00 PM,23.292
25,11/28/17 12:00:00 AM,23.292
26,11/28/17 12:30:00 AM,23.292
27,11/28/17 01:00:00 AM,23.196
28,11/28/17 01:30:00 AM,23.292
29,11/28/17 02:00:00 AM,23.292
30,11/28/17 02:30:00 AM,23.292
31,11/28/17 03:00:00 AM,23.292
32,11/28/17 03:30:00 AM,23.292
33,11/28/17 04:00:00 AM,23.292
34,11/28/17 04:30:00 AM,23.292
35,11/28/17 05:00:00 AM,23.292
36,11/28/17 05:30:00 AM,23.292
37,11/28/17 06:00:00 AM,23.292
38,11/28/17 06:30:00 AM,23.292
39,11/28/17 07:00:00 AM,23.388
40,11/28/17 07:30:00 AM,23.388
41,11/28/17 08:00:00 AM,23.388
42,11/28/17 08:30:00 AM,23.484
43,11/28/17 09:00:00 AM,23.484
44,11/28/17 09:30:00 AM,23.484
45,11/28/17 10:00:00 AM,23.484
46,11/28/17 10:30:00 AM,23.484
47,11/28/17 11:00:00 AM,23.484
48,11/28/17 11:30:00 AM,23.581
49,11/28/17 12:00:00 PM,23.484
50,11/28/17 12:30:00 PM,23.581
51,11/28/17 01:00:00 PM,23.581
52,11/28/17 01:30:00 PM,23.581
53,11/28/17 02:00:00 PM,23.581
54,11/28/17 02:30:00 PM,23.677
55,11/28/17 03:00:00 PM,23.388
56,11/28/17 03:30:00 PM,23.484
57,11/28/17 04:00:00 PM,23.484
58,11/28/17 04:30:00 PM,23.484
59,11/28/17 05:00:00 PM,23.484
60,11/28/17 05:30:00 PM,23.484
61,11/28/17 06:00:00 PM,23.484
62,11/28/17 06:30:00 PM,23.484
63,11/28/17 07:00:00 PM,23.484
64,11/28/17 07:30:00 PM,23.484
65,11/28/17 08:00:00 PM,23.388
66,11/28/17 08:30:00 PM,23.292
67,11/28/17 09:00:00 PM,23.292
68,11/28/17 09:30:00 PM,23.292
69,11/28/17 10:00:00 PM,23.292
70,11/28/17 10:30:00 PM,23.292
71,11/28/17 11:00:00 PM,23.292
72,11/28/17 11:30:00 PM,23.292
73,11/29/17 12:00:00 AM,23.292
74,11/29/17 12:30:00 AM,23.292
75,11/29/17 01:00:00 AM,23.292
76,11/29/17 01:30:00 AM,23.292
77,11/29/17 02:00:00 AM,23.292
78,11/29/17 02:30:00 AM,23.292
79,11/29/17 03:00:00 AM,23.292
80,11/29/17 03:30:00 AM,23.292
81,11/29/17 04:00:00 AM,23.292
82,11/29/17 04:30:00 AM,23.292
83,11/29/17 05:00:00 AM,23.292
84,11/29/17 05:30:00 AM,23.292
85,11/29/17 06:00:00 AM,23.292
86,11/29/17 06:30:00 AM,23.292
87,11/29/17 07:00:00 AM,23.388
88,11/29/17 07:30:00 AM,23.388
89,11/29/17 08:00:00 AM,23.484
90,11/29/17 08:30:00 AM,23.388
91,11/29/17 09:00:00 AM,23.484
92,11/29/17 09:30:00 AM,23.484
93,11/29/17 10:00:00 AM,23.484
94,11/29/17 10:30:00 AM,23.484
95,11/29/17 11:00:00 AM,23.581
96,11/29/17 11:30:00 AM,23.484
97,11/29/17 12:00:00 PM,24.255
98,11/29/17 12:30:00 PM,24.351
99,11/29/17 01:00:00 PM,24.545
100,11/29/17 01:30:00 PM,24.545
101,11/29/17 02:00:00 PM,24.641
102,11/29/17 02:30:00 PM,24.641
103,11/29/17 03:00:00 PM,24.641
104,11/29/17 03:30:00 PM,24.641
105,11/29/17 04:00:00 PM,24.641
106,11/29/17 04:30:00 PM,24.641
107,11/29/17 05:00:00 PM,24.545
108,11/29/17 05:30:00 PM,23.966
109,11/29/17 06:00:00 PM,23.677
110,11/29/17 06:30:00 PM,23.581
111,11/29/17 07:00:00 PM,23.581
112,11/29/17 07:30:00 PM,23.581
113,11/29/17 08:00:00 PM,23.388
114,11/29/17 08:30:00 PM,23.388
115,11/29/17 09:00:00 PM,23.292
116,11/29/17 09:30:00 PM,23.292
117,11/29/17 10:00:00 PM,23.292
118,11/29/17 10:30:00 PM,23.292
