Number,Date_Time,Temp
1,12/05/17 10:00:00 AM,28.853
2,12/05/17 10:00:08 AM,
3,12/05/17 10:30:00 AM,30.255
4,12/05/17 11:00:00 AM,30.76
5,12/05/17 11:30:00 AM,31.268
6,12/05/17 12:00:00 PM,30.255
7,12/05/17 12:30:00 PM,31.166
8,12/05/17 01:00:00 PM,30.255
9,12/05/17 01:30:00 PM,31.268
10,12/05/17 02:00:00 PM,30.457
11,12/05/17 02:30:00 PM,31.472
12,12/05/17 03:00:00 PM,30.356
13,12/05/17 03:30:00 PM,30.963
14,12/05/17 04:00:00 PM,31.574
15,12/05/17 04:30:00 PM,30.457
16,12/05/17 05:00:00 PM,31.574
17,12/05/17 05:30:00 PM,30.255
18,12/05/17 06:00:00 PM,31.064
19,12/05/17 06:30:00 PM,30.963
20,12/05/17 07:00:00 PM,30.862
21,12/05/17 07:30:00 PM,31.574
22,12/05/17 08:00:00 PM,30.356
23,12/05/17 08:30:00 PM,31.472
24,12/05/17 09:00:00 PM,30.457
25,12/05/17 09:30:00 PM,30.862
26,12/05/17 10:00:00 PM,31.778
27,12/05/17 10:30:00 PM,30.659
28,12/05/17 11:00:00 PM,31.676
29,12/05/17 11:30:00 PM,30.457
30,12/06/17 12:00:00 AM,31.268
31,12/06/17 12:30:00 AM,30.76
32,12/06/17 01:00:00 AM,30.963
33,12/06/17 01:30:00 AM,31.676
34,12/06/17 02:00:00 AM,30.659
35,12/06/17 02:30:00 AM,31.88
36,12/06/17 03:00:00 AM,30.558
37,12/06/17 03:30:00 AM,31.676
38,12/06/17 04:00:00 AM,30.457
39,12/06/17 04:30:00 AM,31.268
40,12/06/17 05:00:00 AM,31.166
41,12/06/17 05:30:00 AM,31.064
42,12/06/17 06:00:00 AM,31.778
43,12/06/17 06:30:00 AM,30.862
44,12/06/17 07:00:00 AM,31.778
45,12/06/17 07:30:00 AM,30.558
46,12/06/17 08:00:00 AM,31.472
47,12/06/17 08:30:00 AM,30.963
48,12/06/17 09:00:00 AM,30.963
49,12/06/17 09:30:00 AM,31.574
50,12/06/17 10:00:00 AM,30.76
51,12/06/17 10:30:00 AM,31.778
52,12/06/17 11:00:00 AM,30.659
53,12/06/17 11:30:00 AM,31.37
54,12/06/17 12:00:00 PM,30.76
55,12/06/17 12:30:00 PM,31.166
56,12/06/17 01:00:00 PM,31.778
57,12/06/17 01:30:00 PM,30.76
58,12/06/17 02:00:00 PM,31.778
59,12/06/17 02:30:00 PM,30.659
60,12/06/17 03:00:00 PM,31.064
61,12/06/17 03:30:00 PM,31.983
62,12/06/17 04:00:00 PM,30.76
63,12/06/17 04:30:00 PM,31.37
64,12/06/17 05:00:00 PM,31.064
65,12/06/17 05:30:00 PM,29.853
66,12/06/17 06:00:00 PM,29.953
67,12/06/17 06:30:00 PM,29.853
68,12/06/17 07:00:00 PM,29.752
69,12/06/17 07:30:00 PM,30.76
70,12/06/17 08:00:00 PM,30.457
71,12/06/17 08:30:00 PM,29.853
72,12/06/17 09:00:00 PM,30.356
73,12/06/17 09:30:00 PM,30.659
74,12/06/17 10:00:00 PM,29.853
75,12/06/17 10:30:00 PM,31.064
76,12/06/17 11:00:00 PM,30.054
77,12/06/17 11:30:00 PM,29.953
78,12/07/17 12:00:00 AM,30.457
79,12/07/17 12:30:00 AM,29.853
80,12/07/17 01:00:00 AM,30.457
81,12/07/17 01:30:00 AM,30.054
82,12/07/17 02:00:00 AM,30.356
83,12/07/17 02:30:00 AM,30.054
84,12/07/17 03:00:00 AM,30.457
85,12/07/17 03:30:00 AM,30.054
86,12/07/17 04:00:00 AM,30.558
87,12/07/17 04:30:00 AM,30.054
88,12/07/17 05:00:00 AM,30.558
89,12/07/17 05:30:00 AM,30.054
90,12/07/17 06:00:00 AM,30.558
91,12/07/17 06:30:00 AM,30.054
92,12/07/17 07:00:00 AM,30.76
93,12/07/17 07:30:00 AM,30.154
94,12/07/17 08:00:00 AM,30.963
95,12/07/17 08:30:00 AM,30.154
96,12/07/17 09:00:00 AM,30.76
97,12/07/17 09:30:00 AM,30.558
98,12/07/17 10:00:00 AM,30.457
99,12/07/17 10:30:00 AM,31.166
100,12/07/17 11:00:00 AM,30.255
101,12/07/17 11:30:00 AM,30.76
102,12/07/17 12:00:00 PM,30.558
103,12/07/17 12:30:00 PM,30.558
104,12/07/17 01:00:00 PM,30.963
105,12/07/17 01:30:00 PM,30.558
106,12/07/17 02:00:00 PM,31.268
107,12/07/17 02:30:00 PM,30.457
108,12/07/17 03:00:00 PM,31.268
109,12/07/17 03:30:00 PM,31.064
110,12/07/17 04:00:00 PM,30.255
111,12/07/17 04:30:00 PM,30.963
112,12/07/17 05:00:00 PM,30.356
113,12/07/17 05:30:00 PM,30.76
114,12/07/17 06:00:00 PM,31.064
115,12/07/17 06:30:00 PM,30.457
116,12/07/17 07:00:00 PM,31.166
117,12/07/17 07:30:00 PM,30.255
118,12/07/17 08:00:00 PM,30.862
119,12/07/17 08:30:00 PM,31.166
120,12/07/17 09:00:00 PM,30.457
121,12/07/17 09:30:00 PM,31.166
122,12/07/17 10:00:00 PM,30.659
123,12/07/17 10:30:00 PM,30.862
124,12/07/17 11:00:00 PM,31.472
125,12/07/17 11:30:00 PM,30.457
126,12/08/17 12:00:00 AM,31.37
127,12/08/17 12:30:00 AM,30.356
128,12/08/17 01:00:00 AM,30.862
129,12/08/17 01:30:00 AM,31.574
130,12/08/17 02:00:00 AM,30.356
131,12/08/17 02:30:00 AM,30.862
132,12/08/17 03:00:00 AM,31.472
133,12/08/17 03:30:00 AM,30.558
134,12/08/17 04:00:00 AM,30.862
135,12/08/17 04:30:00 AM,31.574
136,12/08/17 05:00:00 AM,30.457
137,12/08/17 05:30:00 AM,30.862
138,12/08/17 06:00:00 AM,31.574
139,12/08/17 06:30:00 AM,30.457
140,12/08/17 07:00:00 AM,30.963
141,12/08/17 07:30:00 AM,31.574
142,12/08/17 08:00:00 AM,30.558
143,12/08/17 08:30:00 AM,31.064
144,12/08/17 09:00:00 AM,31.574
145,12/08/17 09:30:00 AM,30.457
146,12/08/17 10:00:00 AM,30.963
147,12/08/17 10:30:00 AM,31.676
148,12/08/17 11:00:00 AM,30.558
149,12/08/17 11:30:00 AM,31.064
150,12/08/17 12:00:00 PM,31.676
151,12/08/17 12:30:00 PM,30.76
152,12/08/17 01:00:00 PM,31.472
153,12/08/17 01:30:00 PM,31.472
154,12/08/17 02:00:00 PM,30.659
155,12/08/17 02:30:00 PM,31.268
156,12/08/17 03:00:00 PM,31.778
157,12/08/17 03:30:00 PM,30.76
158,12/08/17 04:00:00 PM,31.064
159,12/08/17 04:30:00 PM,31.676
160,12/08/17 05:00:00 PM,30.558
161,12/08/17 05:30:00 PM,31.166
162,12/08/17 06:00:00 PM,31.37
163,12/08/17 06:30:00 PM,30.76
164,12/08/17 07:00:00 PM,30.356
165,12/08/17 07:30:00 PM,31.37
166,12/08/17 08:00:00 PM,30.963
167,12/08/17 08:30:00 PM,30.356
168,12/08/17 09:00:00 PM,31.574
169,12/08/17 09:30:00 PM,30.76
170,12/08/17 10:00:00 PM,30.457
171,12/08/17 10:30:00 PM,31.268
172,12/08/17 11:00:00 PM,30.558
173,12/08/17 11:30:00 PM,31.268
174,12/09/17 12:00:00 AM,31.064
175,12/09/17 12:30:00 AM,30.457
176,12/09/17 01:00:00 AM,31.268
177,12/09/17 01:30:00 AM,30.963
178,12/09/17 02:00:00 AM,30.356
179,12/09/17 02:30:00 AM,31.472
180,12/09/17 03:00:00 AM,30.659
181,12/09/17 03:30:00 AM,30.659
182,12/09/17 04:00:00 AM,31.268
