Number,Date_Time,Temp
1,12/05/17 10:00:00 AM,32.394
2,12/05/17 10:30:00 AM,32.911
3,12/05/17 11:00:00 AM,33.014
4,12/05/17 11:30:00 AM,33.118
5,12/05/17 12:00:00 PM,33.848
6,12/05/17 12:30:00 PM,34.163
7,12/05/17 01:00:00 PM,34.479
8,12/05/17 01:30:00 PM,34.479
9,12/05/17 02:00:00 PM,34.374
10,12/05/17 02:30:00 PM,34.268
11,12/05/17 03:00:00 PM,34.374
12,12/05/17 03:30:00 PM,34.374
13,12/05/17 04:00:00 PM,34.163
14,12/05/17 04:30:00 PM,34.268
15,12/05/17 05:00:00 PM,34.163
16,12/05/17 05:30:00 PM,34.058
17,12/05/17 06:00:00 PM,34.058
18,12/05/17 06:30:00 PM,33.953
19,12/05/17 07:00:00 PM,34.058
20,12/05/17 07:30:00 PM,33.953
21,12/05/17 08:00:00 PM,33.953
22,12/05/17 08:30:00 PM,33.953
23,12/05/17 09:00:00 PM,33.953
24,12/05/17 09:30:00 PM,33.848
25,12/05/17 10:00:00 PM,33.953
26,12/05/17 10:30:00 PM,34.163
27,12/05/17 11:00:00 PM,34.058
28,12/05/17 11:30:00 PM,33.848
29,12/06/17 12:00:00 AM,34.058
30,12/06/17 12:30:00 AM,34.058
31,12/06/17 01:00:00 AM,34.058
32,12/06/17 01:30:00 AM,33.953
33,12/06/17 02:00:00 AM,34.163
34,12/06/17 02:30:00 AM,34.268
35,12/06/17 03:00:00 AM,34.374
36,12/06/17 03:30:00 AM,34.268
37,12/06/17 04:00:00 AM,34.163
38,12/06/17 04:30:00 AM,33.953
39,12/06/17 05:00:00 AM,34.058
40,12/06/17 05:30:00 AM,33.953
41,12/06/17 06:00:00 AM,33.953
42,12/06/17 06:30:00 AM,34.058
43,12/06/17 07:00:00 AM,34.163
44,12/06/17 07:30:00 AM,34.163
45,12/06/17 08:00:00 AM,34.058
46,12/06/17 08:30:00 AM,34.058
47,12/06/17 09:00:00 AM,34.163
48,12/06/17 09:30:00 AM,33.953
49,12/06/17 10:00:00 AM,34.058
50,12/06/17 10:30:00 AM,34.058
51,12/06/17 11:00:00 AM,34.163
52,12/06/17 11:30:00 AM,33.953
53,12/06/17 12:00:00 PM,34.163
54,12/06/17 12:30:00 PM,33.848
55,12/06/17 01:00:00 PM,33.953
56,12/06/17 01:30:00 PM,33.953
57,12/06/17 02:00:00 PM,33.848
58,12/06/17 02:30:00 PM,33.848
59,12/06/17 03:00:00 PM,34.058
60,12/06/17 03:30:00 PM,34.268
61,12/06/17 04:00:00 PM,34.268
62,12/06/17 04:30:00 PM,34.268
63,12/06/17 05:00:00 PM,34.268
64,12/06/17 05:30:00 PM,34.374
65,12/06/17 06:00:00 PM,34.585
66,12/06/17 06:30:00 PM,34.479
67,12/06/17 07:00:00 PM,34.268
68,12/06/17 07:30:00 PM,34.268
69,12/06/17 08:00:00 PM,34.268
70,12/06/17 08:30:00 PM,33.953
71,12/06/17 09:00:00 PM,34.058
72,12/06/17 09:30:00 PM,34.163
73,12/06/17 10:00:00 PM,34.163
74,12/06/17 10:30:00 PM,33.953
75,12/06/17 11:00:00 PM,33.953
76,12/06/17 11:30:00 PM,33.953
77,12/07/17 12:00:00 AM,34.058
78,12/07/17 12:30:00 AM,34.163
79,12/07/17 01:00:00 AM,34.058
80,12/07/17 01:30:00 AM,34.163
81,12/07/17 02:00:00 AM,34.163
82,12/07/17 02:30:00 AM,33.953
83,12/07/17 03:00:00 AM,34.058
84,12/07/17 03:30:00 AM,34.163
85,12/07/17 04:00:00 AM,33.953
86,12/07/17 04:30:00 AM,34.058
87,12/07/17 05:00:00 AM,33.953
88,12/07/17 05:30:00 AM,34.268
89,12/07/17 06:00:00 AM,33.953
90,12/07/17 06:30:00 AM,34.163
91,12/07/17 07:00:00 AM,34.163
92,12/07/17 07:30:00 AM,34.163
93,12/07/17 08:00:00 AM,34.163
