Number,Date_Time,Temp,,,,
1,12/05/17 10:00:00 AM,29.552,,,,
2,12/05/17 10:30:00 AM,29.953,,,,
3,12/05/17 11:00:00 AM,30.659,,,,
4,12/05/17 11:30:00 AM,30.457,,,,
5,12/05/17 12:00:00 PM,30.558,,,,
6,12/05/17 12:30:00 PM,30.457,,,,
7,12/05/17 01:00:00 PM,30.356,,,,
8,12/05/17 01:30:00 PM,30.154,,,,
9,12/05/17 02:00:00 PM,30.054,,,,
10,12/05/17 02:30:00 PM,30.054,,,,
11,12/05/17 03:00:00 PM,30.154,,,,
12,12/05/17 03:30:00 PM,30.154,,,,
13,12/05/17 04:00:00 PM,30.154,,,,
14,12/05/17 04:30:00 PM,30.154,,,,
15,12/05/17 05:00:00 PM,30.255,,,,
16,12/05/17 05:30:00 PM,30.356,,,,
17,12/05/17 06:00:00 PM,30.356,,,,
18,12/05/17 06:30:00 PM,30.457,,,,
19,12/05/17 07:00:00 PM,30.457,,,,
20,12/05/17 07:30:00 PM,30.356,,,,
21,12/05/17 08:00:00 PM,30.255,,,,
22,12/05/17 08:30:00 PM,30.255,,,,
23,12/05/17 09:00:00 PM,30.255,,,,
24,12/05/17 09:30:00 PM,30.356,,,,
25,12/05/17 10:00:00 PM,30.356,,,,
26,12/05/17 10:30:00 PM,30.457,,,,
27,12/05/17 11:00:00 PM,30.255,,,,
28,12/05/17 11:30:00 PM,30.457,,,,
29,12/06/17 12:00:00 AM,30.356,,,,
30,12/06/17 12:30:00 AM,30.255,,,,
31,12/06/17 01:00:00 AM,30.255,,,,
32,12/06/17 01:30:00 AM,30.356,,,,
33,12/06/17 02:00:00 AM,30.255,,,,
34,12/06/17 02:30:00 AM,30.356,,,,
35,12/06/17 03:00:00 AM,30.457,,,,
36,12/06/17 03:30:00 AM,30.356,,,,
37,12/06/17 04:00:00 AM,30.255,,,,
38,12/06/17 04:30:00 AM,30.255,,,,
39,12/06/17 05:00:00 AM,30.255,,,,
40,12/06/17 05:30:00 AM,30.255,,,,
41,12/06/17 06:00:00 AM,30.558,,,,
42,12/06/17 06:30:00 AM,30.659,,,,
43,12/06/17 07:00:00 AM,30.76,,,,
44,12/06/17 07:30:00 AM,30.659,,,,
45,12/06/17 08:00:00 AM,30.457,,,,
46,12/06/17 08:30:00 AM,30.659,,,,
47,12/06/17 09:00:00 AM,30.457,,,,
48,12/06/17 09:30:00 AM,30.356,,,,
49,12/06/17 10:00:00 AM,30.356,,,,
50,12/06/17 10:30:00 AM,30.255,,,,
51,12/06/17 11:00:00 AM,30.356,,,,
52,12/06/17 11:30:00 AM,30.457,,,,
53,12/06/17 12:00:00 PM,30.356,,,,
54,12/06/17 12:30:00 PM,30.356,,,,
55,12/06/17 01:00:00 PM,30.255,,,,
